,Unnamed: 0,paper_id,title,citation_count,author_names,author_ids,orignal_paper_id
158,9213,4d2abfc483c9ffa4187d43269a53ec37e64e1c5d,Hamilton Paths in Grid Graphs,487,"['A. Itai', 'C. Papadimitriou', 'J. Szwarcfiter']","['1736744', '144102674', '1696569']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
160,2034,db4519cf5921274d47cc331f059b457c8f6950fc,On the Composition of Zero-Knowledge Proof Systems,482,"['Oded Goldreich', 'H. Krawczyk']","['1707322', '4451238']",683c8f5c60916751bb23f159c86c1f2d4170e43f
161,8554,9a3537e294987bc4da342db79f8e73d668a6c324,Interactive proofs and the hardness of approximating cliques,480,"['U. Feige', 'S. Goldwasser', 'L. Lovász', 'S. Safra', 'M. Szegedy']","['1684495', '1706681', '1725557', '1697937', '1686872']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
162,9412,1855866d7433853989ed01cf3851a5d7d3c2b286,Node-and edge-deletion NP-complete problems,479,['M. Yannakakis'],['1748179'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
163,1781,2df90e1f58b97fe6224740ffa033bd805b8fb018,Key-Privacy in Public-Key Encryption,477,"['M. Bellare', 'A. Boldyreva', 'Anand Desai', 'D. Pointcheval']","['1703441', '1774534', '2053097681', '1736322']",683c8f5c60916751bb23f159c86c1f2d4170e43f
164,636,d7a7871638737acfc1f2e6ce7f53af0215952262,A Decade of Lattice Cryptography,476,['Chris Peikert'],['1706585'],683c8f5c60916751bb23f159c86c1f2d4170e43f
165,9505,10077a4312ca6900d6f0f3750d6847dfeea39d05,Finding a Maximum Independent Set,473,"['R. Tarjan', 'Anthony E. Trojanowski']","['1721050', '2964386']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
167,1614,3d6fd5526ed5247a5907caa76cc2151318fa5b4d,Efficient Instantiations of Tweakable Blockciphers and Refinements to Modes OCB and PMAC,467,['P. Rogaway'],['1719446'],683c8f5c60916751bb23f159c86c1f2d4170e43f
168,8542,d025efccdfaf67e3af1e103b9e6ab8fff1001bb3,Zero knowledge and the chromatic number,465,"['U. Feige', 'J. Kilian']","['1684495', '144747292']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
171,1280,edf61b8c2fc45fb0a4f8a5dca7ddaddf87fa7522,Public-Key Cryptosystems Resilient to Key Leakage,461,"['M. Naor', 'G. Segev']","['1693267', '145541206']",683c8f5c60916751bb23f159c86c1f2d4170e43f
173,8863,25698356c65b041324104597bd968dadf91176df,Approximating clique is almost NP-complete,457,"['U. Feige', 'S. Goldwasser', 'L. Lovász', 'S. Safra', 'M. Szegedy']","['1684495', '1706681', '1725557', '1697937', '1686872']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
174,1671,024384b677b58c1f48697245b748ec291812b563,Universal Re-encryption for Mixnets,457,"['P. Golle', 'M. Jakobsson', 'A. Juels', 'P. Syverson']","['2779068', '2836467', '1687161', '3213341']",683c8f5c60916751bb23f159c86c1f2d4170e43f
175,1162,3f18a02d900b6871fdf11f4dfbf0335bf62d1951,Structured Encryption and Controlled Disclosure,454,"['Melissa Chase', 'S. Kamara']","['144713424', '144032384']",683c8f5c60916751bb23f159c86c1f2d4170e43f
176,1946,045296419941f0e66ff6982ba8af6b20934e7177,Concurrent zero-knowledge,446,"['C. Dwork', 'M. Naor', 'A. Sahai']","['1781565', '1693267', '1695851']",683c8f5c60916751bb23f159c86c1f2d4170e43f
178,8967,7157fd1dd9b973c21392550fc6f859ebe2359abc,Faster Scaling Algorithms for Network Problems,442,"['H. Gabow', 'R. Tarjan']","['1736088', '1721050']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
179,1800,abb39b98016e1809019245dd0a9d5a7e8473a710,The Order of Encryption and Authentication for Protecting Communications (or: How Secure Is SSL?),439,['H. Krawczyk'],['4451238'],683c8f5c60916751bb23f159c86c1f2d4170e43f
181,1301,657c9691e996996a70010e6e5b9c9b60e0c9e05b,On the complexity of differentially private data release: efficient algorithms and hardness results,433,"['C. Dwork', 'M. Naor', 'Omer Reingold', 'G. Rothblum', 'S. Vadhan']","['1781565', '1693267', '1746057', '2551824', '1723744']",683c8f5c60916751bb23f159c86c1f2d4170e43f
182,530,f2315eb07115e5b2a0a0b4b0e7a34a4b9b140c74,Pseudorandom generators without the XOR lemma,432,"['M. Sudan', 'L. Trevisan', 'S. Vadhan']","['1748838', '145340992', '1723744']",f9b4a25845d741076f189480143af29f7b195373
184,5956,b909f818bc903b2db75bd41a6994319351738f02,A Tight Linear Time (1/2)-Approximation for Unconstrained Submodular Maximization,428,"['Niv Buchbinder', 'Moran Feldman', 'J. Naor', 'Roy Schwartz']","['1727481', '40546894', '1751440', '2067838786']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
187,1793,14aafffe53fc1022f3a221571f735b108690d920,Provably authenticated group Diffie-Hellman key exchange,426,"['E. Bresson', 'O. Chevassut', 'D. Pointcheval']","['1791369', '144760028', '1736322']",683c8f5c60916751bb23f159c86c1f2d4170e43f
188,8798,85502d9b5621594d6c71d01cd5cfee5f903d69cf,The Traveling Salesman Problem with Distances One and Two,426,"['C. Papadimitriou', 'M. Yannakakis']","['144102674', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
190,1797,84725c4ceed5a8f7cbbbffc5d7210d1f88ef361f,RSA-OAEP Is Secure under the RSA Assumption,424,"['E. Fujisaki', 'T. Okamoto', 'D. Pointcheval', 'J. Stern']","['1932673', '1708176', '1736322', '143836953']",683c8f5c60916751bb23f159c86c1f2d4170e43f
191,316,18ea87263b5ad12c2d9cb131498f55ade4a9d3f3,Arithmetic Circuits: A survey of recent results and open questions,422,"['Amir Shpilka', 'A. Yehudayoff']","['1787363', '1699039']",f9b4a25845d741076f189480143af29f7b195373
192,2718,b5a0af9c1abf3cb68fc0ad5c11a4713213b54c0e,1 . 2 Lattice-based cryptography,421,['Daniele Micciancio'],['1803836'],683c8f5c60916751bb23f159c86c1f2d4170e43f
193,1730,e6d4c3824037dbf8817e0155a7f4d512b4e65e6a,Squealing Euros: Privacy Protection in RFID-Enabled Banknotes,418,"['A. Juels', 'R. Pappu']","['1687161', '74864274']",683c8f5c60916751bb23f159c86c1f2d4170e43f
194,9275,700c261b0a66be88dba091d5c8b0acf4a6e14306,A Linear-Time Approximation Algorithm for the Weighted Vertex Cover Problem,418,"['R. Bar-Yehuda', 'S. Even']","['1388380660', '1733075']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
195,2801,099a5796bc29964ffd393677142e039176c5bf45,Deterministic Authenticated-Encryption: A Provable-Security Treatment of the Key-Wrap Problem,417,"['P. Rogaway', 'Thomas Shrimpton']","['1719446', '8644086']",683c8f5c60916751bb23f159c86c1f2d4170e43f
196,8204,d3a95ea430c0e33b044e9212a4857942e49621d5,Computationally Sound Proofs,412,['S. Micali'],['1689467'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
197,9393,f87463ea8841f37c15826789bbca9f517e45d8d4,The complexity of the network design problem,409,"['David S. Johnson', 'J. Lenstra', 'A. Kan']","['2150444582', '1997069', '145071526']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
198,1389,11a651253f8603c01ed29c00c76673a67bd291c7,Composition attacks and auxiliary information in data privacy,408,"['S. R. Ganta', 'S. Kasiviswanathan', 'Adam D. Smith']","['2554473', '7993151', '39765787']",683c8f5c60916751bb23f159c86c1f2d4170e43f
199,490,10dac777afc83308fd10782bc2bc529469cb9ce9,"Reductions in streaming algorithms, with an application to counting triangles in graphs",406,"['Ziv Bar-Yossef', 'Ravi Kumar', 'D. Sivakumar']","['1402923066', '2109227352', '1765251']",f9b4a25845d741076f189480143af29f7b195373
201,2006,9deee33559c4e6bf4e5a45e5732dc9e215704385,Secret Sharing Made Short,405,['H. Krawczyk'],['4451238'],683c8f5c60916751bb23f159c86c1f2d4170e43f
204,9511,d7dd5f3131008a4e2e083b55043e30a4ef772235,Some NP-complete geometric problems,401,"['M. Garey', 'R. Graham', 'David S. Johnson']","['145634459', '144143284', '2150444582']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
205,9235,d01d8269be394b9fa5f3916dc82deae147a2dff2,The complexity of facets (and some facets of complexity),397,"['C. Papadimitriou', 'M. Yannakakis']","['144102674', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
206,9303,4e60a72a0b58f62b405ab5eb43b184f5fff77710,Equivalences Among Relational Expressions with the Union and Difference Operators,387,"['Y. Sagiv', 'M. Yannakakis']","['1714472', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
207,1814,e8d2cafac32e80e02cd6990c0afd65506101359e,A model for asynchronous reactive systems and its application to secure message transmission,384,"['B. Pfitzmann', 'M. Waidner']","['1752737', '2068724754']",683c8f5c60916751bb23f159c86c1f2d4170e43f
209,7931,747057927b86d766f1d88a88f6a2e1179ca42904,Graph Clustering and Minimum Cut Trees,379,"['G. Flake', 'R. Tarjan', 'Kostas Tsioutsiouliklis']","['1687227', '1721050', '1731462']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
210,1955,426be4a258fe1575c2ab66dcb4832bdb96807dca,On the Security of ElGamal Based Encryption,376,"['Yiannis Tsiounis', 'M. Yung']","['2580262', '144068857']",683c8f5c60916751bb23f159c86c1f2d4170e43f
214,1967,5678937c75daa6f3a2eecdb2792d228ce479fbeb,Deniable Encryption,369,"['R. Canetti', 'C. Dwork', 'M. Naor', 'R. Ostrovsky']","['1749530', '1781565', '1693267', '1748224']",683c8f5c60916751bb23f159c86c1f2d4170e43f
216,1920,ec3ab2b3189894cb6e3deefdedbcf7d2bcd598f6,A new public key cryptosystem based on higher residues,363,"['D. Naccache', 'J. Stern']","['1729623', '143836953']",683c8f5c60916751bb23f159c86c1f2d4170e43f
219,1188,2977e30243c4a93462cdb466d97abff4bcd638d2,Cryptographic Extraction and Key Derivation: The HKDF Scheme,359,['H. Krawczyk'],['4451238'],683c8f5c60916751bb23f159c86c1f2d4170e43f
220,8700,320f5ce9dc19548bce40e4695a5825e42e54f3df,.879-approximation algorithms for MAX CUT and MAX 2SAT,359,"['M. Goemans', 'David P. Williamson']","['1694388', '30094424']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
221,2337,c031e9110e82b397e4f4dc24b802761ac6551ec9,How To Simulate It - A Tutorial on the Simulation Proof Technique,358,['Yehuda Lindell'],['1682750'],683c8f5c60916751bb23f159c86c1f2d4170e43f
223,8038,7a39aa21686e908238335be385c6e1590dc81942,"Generalized Compact Knapsacks, Cyclic Lattices, and Efficient One-Way Functions",350,['Daniele Micciancio'],['1803836'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
224,9372,3f3d33e498578fe721f90c213f46b326c972f669,Equivalences Among Relational Expressions,349,"['A. Aho', 'Y. Sagiv', 'J. Ullman']","['1715952', '1714472', '1742391']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
225,9489,7cbefb72803e86c02fd9fcfc4ef5f5e83711fc57,Resource Constrained Scheduling as Generalized Bin Packing,348,"['M. Garey', 'R. Graham', 'David S. Johnson', 'A. Yao']","['145634459', '102750343', '2150444582', '1770729']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
226,1870,738b65b76cd2a0297a6bf233378776788f5239ca,Sharing Decryption in the Context of Voting or Lotteries,347,"['Pierre-Alain Fouque', 'G. Poupard', 'J. Stern']","['1740168', '2988203', '143836953']",683c8f5c60916751bb23f159c86c1f2d4170e43f
227,3107,6bbce5d0c578875f52cec2abfc7196d274156639,Relations Among Notions of Security for Public-Key Encryption Schemes,346,"['A. Desai', 'D. Pointcheval', 'P. Rogaway']","['2285122237', '1736322', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
228,1912,abf1e80e56cc7f384e2ed4f008a99f4405bbc41b,How to Enhance the Security of Public-Key Encryption at Minimum Cost,346,"['E. Fujisaki', 'T. Okamoto']","['1932673', '1708176']",683c8f5c60916751bb23f159c86c1f2d4170e43f
230,5304,ce615ae61d67db8537e981a0a08da7f0f2ff1cee,Understanding Machine Learning: From Theory to Algorithms,344,"['Shai Shalev-Shwartz', 'S. Ben-David']","['1389955537', '1409749316']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
231,2037,5b1bd5674a61c8711ffc0c9e09ef8cda6f031f2d,Noninteractive Zero-Knowledge,340,"['Manuel Blum', 'A. D. Santis', 'Silvio Micali', 'G. Persiano']","['2257168430', '1722848', '2257168152', '1778437']",683c8f5c60916751bb23f159c86c1f2d4170e43f
233,1802,bde5ab491153781bb27ac0d0175d3cffc150111a,Practical multi-candidate election system,337,"['Olivier Baudron', 'Pierre-Alain Fouque', 'D. Pointcheval', 'J. Stern', 'G. Poupard']","['1965786', '1740168', '1736322', '143836953', '2988203']",683c8f5c60916751bb23f159c86c1f2d4170e43f
234,3097,642d702fb5f72871057b4ae4d3b770db27403765,Advances in Cryptology — CRYPTO’ 88: Proceedings,336,['S. Goldwasser'],['1706681'],683c8f5c60916751bb23f159c86c1f2d4170e43f
237,893,41bcaa2df214711891a78624e26286fda212a970,Recent Developments in Explicit Constructions of Extractors,330,['Ronen Shaltiel'],['1803387'],f9b4a25845d741076f189480143af29f7b195373
238,535,6e7ae7f8d422ae8b7ef25ddadfb39d1abf46a85f,"Modern Cryptography, Probabilistic Proofs and Pseudorandomness",322,['Oded Goldreich'],['1707322'],f9b4a25845d741076f189480143af29f7b195373
239,2016,9295a9683f35c73aabae8a8066132939feace055,Fast asynchronous Byzantine agreement with optimal resilience,322,"['R. Canetti', 'T. Rabin']","['1749530', '1693109']",683c8f5c60916751bb23f159c86c1f2d4170e43f
240,899,ca73bec3f9b1a483c64ccb51e8dd154fe87fbd42,Extractors and pseudorandom generators,321,['L. Trevisan'],['145340992'],f9b4a25845d741076f189480143af29f7b195373
241,579,03c476160ebb1945210844f61248464dfe26d7f5,A personal view of average-case complexity,320,['R. Impagliazzo'],['1735759'],f9b4a25845d741076f189480143af29f7b195373
242,1724,aba262e6eb9c12cbabaeffe1a8ebcfc1a9ad759e,Forward-Security in Private-Key Cryptography,320,"['M. Bellare', 'Bennet S. Yee']","['1703441', '1724047']",683c8f5c60916751bb23f159c86c1f2d4170e43f
247,2972,807647514754a785db0590fc87d9387703a4833e,Lecture Notes on Cryptography,307,"['S. Goldwasser', 'M. Bellare']","['1706681', '1703441']",683c8f5c60916751bb23f159c86c1f2d4170e43f
248,5468,9b83f9270bbc7596c9cd6f629d6d12ccdaa5e643,Submodular Maximization with Cardinality Constraints,307,"['Niv Buchbinder', 'Moran Feldman', 'J. Naor', 'Roy Schwartz']","['1727481', '40546894', '1751440', '2067838786']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
249,9525,6878ac143239e2dea07169d6f77b11f9f8f8789d,The Complexity of Near-Optimal Graph Coloring,306,"['M. Garey', 'David S. Johnson']","['145634459', '2150444582']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
250,5736,9c7fc0532baa3e5cd4a59a25377d97e447ba0e54,Witness encryption and its applications,306,"['Sanjam Garg', 'Craig Gentry', 'A. Sahai', 'Brent Waters']","['38430392', '145310230', '1695851', '145778768']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
252,459,28816b148281af9ba41469b4c69dd69c2afd2b95,Introduction to Property Testing,306,['Oded Goldreich'],['1707322'],683c8f5c60916751bb23f159c86c1f2d4170e43f
253,1837,3b697cba721ee17208a1299bd35a60a72bb2f581,Mix and Match: Secure Function Evaluation via Ciphertexts,304,"['M. Jakobsson', 'A. Juels']","['2836467', '1687161']",683c8f5c60916751bb23f159c86c1f2d4170e43f
254,1877,47c4bb574a9d339a0fe7f5259c3a995d46061c6c,Efficient private bidding and auctions with an oblivious third party,304,['C. Cachin'],['3142068'],683c8f5c60916751bb23f159c86c1f2d4170e43f
255,1432,81d8247f43e5ee4a6a47afb0cced92e45f90445a,Public Key Encryption That Allows PIR Queries,302,"['D. Boneh', 'E. Kushilevitz', 'R. Ostrovsky', 'W. E. Skeith']","['1752788', '1738470', '1748224', '2406247']",683c8f5c60916751bb23f159c86c1f2d4170e43f
256,8961,d455c1ec1e18687fbed708d1f2a5244471c46fd4,Efficient cryptographic schemes provably as secure as subset sum,302,"['R. Impagliazzo', 'M. Naor']","['1735759', '1693267']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
257,1883,9b86ab0638b4851c2bee775d2a9e39a3653e014c,Multiple NonInteractive Zero Knowledge Proofs Under General Assumptions,302,"['U. Feige', 'D. Lapidot', 'A. Shamir']","['1684495', '2083182', '1706216']",683c8f5c60916751bb23f159c86c1f2d4170e43f
258,185,5a4b237a2d381ed52bcf70c05d164e4f44e3ef47,Complexity-Theoretic Foundations of Quantum Supremacy Experiments,301,"['S. Aaronson', 'Lijie Chen']","['20996436', '2184812']",f9b4a25845d741076f189480143af29f7b195373
259,6981,1bc831136e380489a0a76ff07f501003866cb954,The status of the P versus NP problem,301,['L. Fortnow'],['1691447'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
260,1688,10b89a8cba583c2e528a6fe545e5088e007e506b,A Simple Public-Key Cryptosystem with a Double Trapdoor Decryption Mechanism and Its Applications,300,"['E. Bresson', 'D. Catalano', 'D. Pointcheval']","['1791369', '35203214', '1736322']",683c8f5c60916751bb23f159c86c1f2d4170e43f
262,1225,97afbf05ac53522cede2857530d281fe368a5059,Differential Privacy for Statistics: What we Know and What we Want to Learn,298,"['C. Dwork', 'Adam D. Smith']","['1781565', '39765787']",683c8f5c60916751bb23f159c86c1f2d4170e43f
263,8401,7a84e6187689df19485d62252b8509ead9f95fa0,Approximating Minimum Feedback Sets and Multicuts in Directed Graphs,297,"['G. Even', 'J. Naor', 'B. Schieber', 'M. Sudan']","['1698266', '1751440', '1771729', '1748838']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
264,1708,a48af9b54d213086d1201375b11f71f004256c11,Relaxing Chosen-Ciphertext Security,297,"['R. Canetti', 'H. Krawczyk', 'J. Nielsen']","['1749530', '4451238', '145078487']",683c8f5c60916751bb23f159c86c1f2d4170e43f
265,9404,030a518c0c9f3ac3d24efe48bad79d0109430437,New Algorithms for Bin Packing,296,['A. Yao'],['1770729'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
266,8508,a9ee8843bc6a55cf265a29001b178e829736f2c3,"Gadgets, approximation, and linear programming",295,"['L. Trevisan', 'G. Sorkin', 'M. Sudan', 'David P. Williamson']","['145340992', '1788468', '1748838', '30094424']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
267,1620,3651b4cd9994142c6fbb2f4e1630c406a25fca77,Security of public-key cryptosystems based on Chebyshev polynomials,295,"['P. Bergamo', 'P. D’Arco', 'A. D. Santis', 'L. Kocarev']","['1412615926', '1398725438', '1722848', '1782502']",683c8f5c60916751bb23f159c86c1f2d4170e43f
268,1655,9b78b82a838879aa44085703244fa60f8bf448a9,An Uninstantiable Random-Oracle-Model Scheme for a Hybrid-Encryption Problem,294,"['M. Bellare', 'A. Boldyreva', 'Adriana Palacio']","['1703441', '1774534', '145683297']",683c8f5c60916751bb23f159c86c1f2d4170e43f
273,517,78272f2cd6812d56d5e3db5b4e73fe9ac60c3795,Redactable Blockchain – or – Rewriting History in Bitcoin and Friends,289,"['G. Ateniese', 'Bernardo Magri', 'D. Venturi', 'Ewerton R. Andrade']","['1700850', '2080351251', '1678684', '34982555']",683c8f5c60916751bb23f159c86c1f2d4170e43f
274,301,b50742403c2d85ea5a4e9327c5d56d34b5ec1fbe,Non-uniform ACC Circuit Lower Bounds,288,['Ryan Williams'],['2110217002'],f9b4a25845d741076f189480143af29f7b195373
275,346,ae3af798af4e74096fa1637e221343d596bdb68d,A Pragmatic Introduction to Secure Multi-Party Computation,284,"['David E. Evans', 'V. Kolesnikov', 'Mike Rosulek']","['2116658506', '144458591', '2524585']",683c8f5c60916751bb23f159c86c1f2d4170e43f
277,1700,c43ed43caf10d5bb8457e77553a4cfc7587f3dbd,More on Average Case vs Approximation Complexity,280,['Michael Alekhnovich'],['1741072'],683c8f5c60916751bb23f159c86c1f2d4170e43f
278,3059,70d2a37d5af527dfc345691e2f978f6e46dc4efe,Private Information Retrieval by Keywords,279,"['B. Chor', 'N. Gilboa', 'M. Naor']","['1722541', '21047852', '1693267']",683c8f5c60916751bb23f159c86c1f2d4170e43f
279,576,46eaa599a05468452c8c4f5d798be394b8afde51,Hard-core distributions for somewhat hard problems,279,['R. Impagliazzo'],['1735759'],f9b4a25845d741076f189480143af29f7b195373
282,9415,53aa922f5575f6807da711845658807e053ec8a3,COMPLEXITY RESULTS FOR BANDWIDTH MINIMIZATION,277,"['M. Garey', 'R. Graham', 'David S. Johnson', 'D. Knuth']","['145634459', '144143284', '2150444582', '1717349']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
284,8338,998902110c5b793ed877b796c0f095e0daf29920,The shortest vector in a lattice is hard to approximate to within some constant,275,['Daniele Micciancio'],['1803836'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
285,1629,29ea499bb746b940d9b57a12ba25156a6de81412,Cryptography in NC0,274,"['Benny Applebaum', 'Yuval Ishai', 'E. Kushilevitz']","['1748330', '1688856', '1738470']",683c8f5c60916751bb23f159c86c1f2d4170e43f
287,1538,b93967ec945dde961dd548eb342702a35e036d87,Chosen-Ciphertext Security from Tag-Based Encryption,273,['Eike Kiltz'],['1713646'],683c8f5c60916751bb23f159c86c1f2d4170e43f
288,1705,17b817a64c367f7fc0763816a2109e48c08ca3ad,A Tweakable Enciphering Mode,272,"['S. Halevi', 'P. Rogaway']","['1808458', '1719446']",683c8f5c60916751bb23f159c86c1f2d4170e43f
289,6325,cc555121cd1fc79e6d5f3bc240e520871721c2f4,A Unified Continuous Greedy Algorithm for Submodular Maximization,271,"['Moran Feldman', 'J. Naor', 'Roy Schwartz']","['40546894', '1751440', '2067838786']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
290,9281,72ce49a2fb801d583ed1074625ce826c17609664,Node-Deletion Problems on Bipartite Graphs,271,['M. Yannakakis'],['1748179'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
291,1892,2856e831714ac4ddbe2e87b01401574af070bde5,Public-key cryptography and password protocols,271,"['S. Halevi', 'H. Krawczyk']","['1808458', '4451238']",683c8f5c60916751bb23f159c86c1f2d4170e43f
292,1358,56cdc4d925f31398d9ebaa7bf1765cacc230e70f,Circular-Secure Encryption from Decision Diffie-Hellman,271,"['D. Boneh', 'S. Halevi', 'Michael Hamburg', 'R. Ostrovsky']","['1752788', '1808458', '37584482', '1748224']",683c8f5c60916751bb23f159c86c1f2d4170e43f
293,9496,913fea849518f26443477fbedb2a00146f78a159,The NP-Completeness of the bandwidth minimization problem,270,['C. Papadimitriou'],['144102674'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
294,736,6228ebe997791bd9d72fa71b120b59e9bff3035e,Function Secret Sharing,270,"['Elette Boyle', 'N. Gilboa', 'Yuval Ishai']","['143709532', '21047852', '1688856']",683c8f5c60916751bb23f159c86c1f2d4170e43f
295,1255,a824e211a07889fd1c1e471a0248e90468203787,Improved Garbled Circuit Building Blocks and Applications to Auctions and Computing Minima,270,"['V. Kolesnikov', 'A. Sadeghi', 'T. Schneider']","['144458591', '145897166', '145139628']",683c8f5c60916751bb23f159c86c1f2d4170e43f
296,1823,3ee96cba1599c0483a7693795791184302724834,REACT: Rapid Enhanced-Security Asymmetric Cryptosystem Transform,269,"['T. Okamoto', 'D. Pointcheval']","['1708176', '1736322']",683c8f5c60916751bb23f159c86c1f2d4170e43f
297,1850,0c07ab240b3280b4872fe88a33f9bda3fd450ec7,Zaps and their applications,269,"['C. Dwork', 'M. Naor']","['1781565', '1693267']",683c8f5c60916751bb23f159c86c1f2d4170e43f
299,2604,98ca39c9e66e2e230e7593e294c1b2de284f131f,Definitional Issues in Functional Encryption,266,"[""Adam O'Neill""]",['1402733230'],683c8f5c60916751bb23f159c86c1f2d4170e43f
301,838,7e2a44e617b9dc4dea1a32b242f29365058365d8,Blind Seer: A Scalable Private DBMS,263,"['Vasilis Pappas', 'Fernando Krell', 'B. Vo', 'V. Kolesnikov', 'T. Malkin', 'Seung Geol Choi', 'Wesley George', 'A. Keromytis', 'S. Bellovin']","['34106130', '1759511', '145306909', '144458591', '1769717', '1702836', '2058838245', '1720824', '1751667']",683c8f5c60916751bb23f159c86c1f2d4170e43f
302,8033,2164d0664e01e628e8abdc4ce25b4128901868db,An efficient distributed algorithm for constructing small dominating sets,263,"['L. Jia', 'R. Rajaraman', 'Torsten Suel']","['3165679', '1696669', '1691664']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
303,9589,dd50dec404a2595fe1f94e2334316daef2fc9128,Complete register allocation problems,262,['R. Sethi'],['144281449'],9fb53a3bdfb47230eeaf7d956b1a238db5cba690
305,527,55de9586ce504f1ba1dbc1abd9362230d68ca207,Graph nonisomorphism has subexponential size proofs unless the polynomial-time hierarchy collapses,261,"['Adam R. Klivans', 'D. Melkebeek']","['1682471', '1717488']",f9b4a25845d741076f189480143af29f7b195373
309,8311,62eb3948683c5aae8f66736ed79e0675edef9d3f,Near-optimal hardness results and approximation algorithms for edge-disjoint paths and related problems,258,"['V. Guruswami', 'S. Khanna', 'R. Rajaraman', 'B. Shepherd', 'M. Yannakakis']","['1721077', '144335444', '1696669', '48410213', '1748179']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
311,1592,a934f3b53e28a8574b18190e94a11bb48b25948f,Universally Composable Password-Based Key Exchange,256,"['R. Canetti', 'S. Halevi', 'Jonathan Katz', 'Yehuda Lindell', 'P. MacKenzie']","['1749530', '1808458', '143975296', '1682750', '1711305']",683c8f5c60916751bb23f159c86c1f2d4170e43f
312,6792,b4aacf7c468cff31563e82c295ea95cb2c976f52,Satisfiability allows no nontrivial sparsification unless the polynomial-time hierarchy collapses,255,"['Holger Dell', 'D. Melkebeek']","['28200272', '1717488']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
313,2057,112e1ebffc054a752209d518c0dfc2834aff8019,Distributing the power of a government to enhance the privacy of voters,255,"['Josh Benaloh', 'M. Yung']","['144681789', '144068857']",683c8f5c60916751bb23f159c86c1f2d4170e43f
314,1459,55c8020222a7e36ae27ecab6a058e0090b73d32d,A Survey of Single-Database Private Information Retrieval: Techniques and Applications,255,"['R. Ostrovsky', 'W. E. Skeith']","['1748224', '2406247']",683c8f5c60916751bb23f159c86c1f2d4170e43f
315,1695,f6185fad7dda3412ed3cf7033064c326ee122484,A composable cryptographic library with nested operations,254,"['M. Backes', 'B. Pfitzmann', 'M. Waidner']","['144588806', '1752737', '2068724754']",683c8f5c60916751bb23f159c86c1f2d4170e43f
317,9002,4c22a4ae1147bce7bed64d5d9d19058ed93f3a5f,On the theory of average case complexity,253,"['S. Ben-David', 'B. Chor', 'Oded Goldreich', 'M. Luby']","['1409749316', '1722541', '1707322', '145881044']",9fb53a3bdfb47230eeaf7d956b1a238db5cba690
323,2289,09ad6b41fc80faa5f4d84079a6cb93f3c6e0b827,Homomorphic Encryption,249,['S. Halevi'],['1808458'],683c8f5c60916751bb23f159c86c1f2d4170e43f
324,1572,ce53a941dedb31961f994fa2877ea3357df9fbab,Private Searching on Streaming Data,249,"['R. Ostrovsky', 'W. E. Skeith']","['1748224', '2406247']",683c8f5c60916751bb23f159c86c1f2d4170e43f
326,1754,2c225d3b5a1a9b70af7e94ba0ba76d542c3b9ee2,Encryption-Scheme Security in the Presence of Key-Dependent Messages,248,"['J. Black', 'P. Rogaway', 'Thomas Shrimpton']","['2069385566', '1719446', '8644086']",683c8f5c60916751bb23f159c86c1f2d4170e43f
